"hour","offshore_f","offshore_g","onshore","pv_g","pv_c","river","lake","biogas1","biogas2","ocgt","ccgt","nuc","h2_ccgt","phs","battery1","battery4","electrolysis","hydrogen","SC","demand","ElecStr1","ElecStr4","Pump","hydrogen","elec_market","gas_market1","gas_market2","h2_market","OK"
"0",0.00,25.95,61.40,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,3.31,0.00,3.28,0.00,12.16,24.40,0.00,0.00,77.18,0.00,0.00,0.00,-19.84,10.56,204.54,144.89,94.13,"OK"
"1",0.00,26.40,63.35,0.00,0.00,3.36,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,12.16,24.40,0.00,0.00,73.64,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"2",0.00,26.40,64.56,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.69,24.40,0.00,0.00,68.34,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"3",0.00,26.20,64.99,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.96,24.40,0.00,0.00,66.02,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"4",0.00,25.56,64.65,0.00,0.00,2.95,0.00,0.00,0.00,0.00,0.00,2.76,0.00,0.00,0.00,0.17,24.40,0.00,0.00,63.55,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"5",0.00,24.97,64.95,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,24.40,0.00,0.00,61.35,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"6",0.00,24.62,65.15,0.00,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,59.67,0.00,0.00,-0.38,-19.84,8.55,204.54,144.89,94.13,"OK"
"7",0.00,24.25,65.32,0.40,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,24.40,0.00,0.00,60.21,0.00,0.00,0.00,-19.84,10.00,204.54,144.89,94.13,"OK"
"8",0.00,24.18,64.62,6.05,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,62.73,0.00,-2.18,0.00,-19.84,8.55,204.54,144.89,94.13,"OK"
"9",0.00,23.88,61.70,15.67,0.00,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,66.18,0.00,-5.29,0.00,-19.84,8.55,204.54,144.89,94.13,"OK"
"10",0.00,23.60,60.40,24.16,0.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,69.09,0.00,-9.41,0.00,-19.84,8.55,204.54,144.89,94.13,"OK"
"11",0.00,23.72,61.94,27.65,0.00,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,71.22,0.00,-8.79,-3.68,-19.84,8.55,204.54,144.89,94.13,"OK"
"12",0.00,23.98,62.23,26.69,0.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,73.90,0.00,-9.48,0.00,-19.84,8.55,204.54,144.89,94.13,"OK"
"13",0.00,24.27,62.02,20.68,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,0.00,74.86,0.00,-2.63,0.00,-19.84,8.55,204.54,144.89,94.13,"OK"
"14",0.00,24.56,61.35,12.22,0.00,2.80,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,21.97,0.00,0.00,74.96,0.00,0.00,0.00,-17.40,68.80,204.54,144.89,94.13,"OK"
"15",0.00,24.87,62.64,3.50,0.00,2.69,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,17.59,0.00,0.00,73.55,0.00,0.00,0.00,-13.03,68.80,204.54,144.89,94.13,"OK"
"16",0.00,25.13,63.65,0.00,0.00,2.65,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,17.44,0.00,0.00,71.49,0.00,0.00,0.00,-12.87,68.80,204.54,144.89,94.13,"OK"
"17",0.00,25.23,63.71,0.00,0.00,2.62,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,16.07,0.00,0.00,73.43,0.00,0.00,0.00,-11.51,68.80,204.54,144.89,94.13,"OK"
